Key,Short Name,Publication Year,Author,Title,Publication Title,Date,Study,Measure(s) of Walkability,ATS?,PA Type,MVPA?,Other PA,Other transport,Measure of PA,Ages,Sample Size,Country,Finding,Other Notes,Effect on ATS,Effect on PA,Consensus,Include?,Reason,
TP7BHGTM,Aibar 2015,2015,"Aibar, Alberto; Bois, Julien E.; Generelo, Eduardo; Bengoechea, Enrique Garcia; Paillard, Thierry; Zaragoza, Javier","Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",ENVIRONMENT AND BEHAVIOR,2015-05,Evaluation and Promotion of Physical Activity,NEWS (self),self report,MVPA,,,Total PA (accelerometer),,14.33 (0.73),620,Spain; France,There were no significant associations between perceived walkability and MVPA,,-,Neutral,Neutral,yes,,
G5R8S687,Aznar 2024,2024,"Aznar, Susana; Jimenez-Zazo, Fabio; Romero-Blanco, Cristina; Gomez, Santiago F.; Homs, Clara; Warnberg, Julia; Medrano, Maria; Gusi, Narcis; Gonzalez-Gross, Marcela; Marin-Cascales, Elena; Gonzalez-Valeiro, Miguel angel; Serra-Majem, Lluis; Terrados, Nicolas; Tur, Josep A.; Segu, Marta; Lassale, Camille; Colom-Fernandez, Antoni; Labayen, Idoia; Sanchez-Gomez, Jesus; Alcaraz, Pedro Emilio; Sevilla-Sanchez, Marta; Zapico, Augusto G.; Herrera-Ramos, Estefania; Pulgar, Susana; Bibilonii, Maria del Mar; Sistac, Clara; Schroder, Helmut; Molina-Garcia, Javier","Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",PLOS ONE,3/15/24,PASOS,Walk Score,,MVPA; organized sports; other PA; walking,self report,Total PA (self report); sports participation (self report),Walking (self report),,16-Aug,4092,Spain,"Walkability was associated with walking behavior, not with any other PA term including MVPA. SES was associated with sports participation and MVPA",,-,Neutral,Mixed,yes,,
3BDZZCSX,Bird 2022,2022,"Bird, Madeleine; Datta, Geetanjali D.; Chinerman, Deanna; Kakinami, Lisa; Mathieu, Marie-Eve; Henderson, Melanie; Barnett, Tracie A.",Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,5/18/22,Quebec Adipose and Lifestyle Investigation in Youth,Novel indicator,,,accelerometer,Light PA (accelerometer),,,10-Aug,409,Canada,"MVPA was significantly associated with walkability in girls only, not boys",,-,Mixed,Mixed,yes,,
4S89S5G5,Buck 2019,2019,"Buck, Christoph; Eiben, Gabriele; Lauria, Fabio; Konstabel, Kenn; Page, Angie; Ahrens, Wolfgang; Pigeot, Iris; on behalf of the IDEFICS and the I.Family consortia",Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,International Journal of Behavioral Nutrition and Physical Activity,12/11/19,IDEFICS; I.Family,Moveability,No,MVPA; LPA,accelerometer,LPA (accelerometer),,"MVPA (accelerometer), LPA (accelerometer)",15-Mar,,Germany; Italy; Sweden,"Moveability index positively affected MVPA in girls, lessened decline in LPA for boys. Public open spaces seemed more important in childhood, while residential density and intersection density more important in adolescence.",,-,Positive,Positive,yes,,
6SSJPX65,Molina-García 2020,2020,"Molina-García, Javier; Campos, Sergio; García-Massó, Xavier; Herrador-Colmenero, Manuel; Gálvez-Fernández, Patricia; Molina-Soberanes, Daniel; Queralt, Ana; Chillón, Palma",Different neighborhood walkability indexes for active commuting to school are necessary for urban and rural children and adolescents,International Journal of Behavioral Nutrition and Physical Activity,9/29/20,,Novel Indicator,self report,,,,,ATS (self report),18-Jul,4593,Spain,"Street connectivity and residential density were positively related to ATS in urban children, but negatively related in rural children. ",,Mixed,-,Mixed,No,ATS only,
ZVM5VMBV,Buck 2015,2015,"Buck, Christoph; Tkaczick, Tobias; Pitsiladis, Yannis; De Bourdehaudhuij, Ilse; Reisch, Lucia; Ahrens, Wolfgang; Pigeot, Iris",Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,Journal of Urban Health,2/1/15,IDEFICS,Moveability; Frank excluding retail; Frank including retail,No,MVPA,accelerometer,,,MVPA (accelerometer),9-Feb,,Germany,"Moveability index was significantly associated with MVPA in school children, not walkability. No significant associations for pre-school children.",,-,Mixed,Mixed,yes,,
GFQGEHBG,Bucko 2021,2021,"Bucko, Agnes G.; Porter, Dwayne E.; Saunders, Ruth; Shirley, Lynn; Dowda, Marsha; Pate, Russell R.",Walkability indices and children's walking behavior in rural vs. urban areas,Health & Place,11/1/21,TRACK,Walk Score; Frank excluding retail; NWI,No,Total PA; walk for exercise,,Total PA (accelerometer),Walking for exercise (self report); Walking for transport (self report),Walking for exercise (self report); Walking for transportation (self report); Total PA (accelerometer),10,,USA,NWI significantly related to reduced walking for transportation overall. Frank significantly related to reduced walking for exercise in rural children. Walk score and NWI related to reduced walking for transportation in urban children. Frank and Walk Score related to reduced Total PA in urban children. ,,Negative,Negative,Negative,yes,No measure of MVPA,
ZVERLUZN,Rahman 2020,2020,"Rahman, Mohammad Lutfur; Pocock, Tessa; Moore, Antoni; Mandic, Sandra","Active Transport to School and School Neighbourhood Built Environment across Urbanisation Settings in Otago, New Zealand",International Journal of Environmental Research and Public Health,2020-01,BEATS,Frank excluding retail,self report,,,,,ATS (self report),15.2 +/- 1.4,1260,New Zealand,ATS rates negatively correlated with school-area walkability. Perception of traffic safety negatively correlated with ATS rates. ,,Negative,-,Negative,No,ATS only,
EYNL7I4F,Caetano 2022,2022,"Caetano, Isabella Toledo; Miranda, Valter Paulo Neves; Santos, Fernanda Karina dos; Amorim, Paulo Roberto dos Santos",Ecological correlates related to adolescent movement behaviors: A latent class analysis,PLOS ONE,7/21/22,,NEWS-Y,No,,accelerometer,LPA (accelerometer),step count (accelerometer),LPA (accelerometer); MVPA (accelerometer); step count (accelerometer),14-16,309,Brazil,"Having better street connectivity, diverse land use, traffic safety, walking easy, made participants more likely to be in the active and non-sedentary class than active and sedentary.",,-,Positive,Positive,No,"LCA, not direct associations",
EBE2HCKB,Caetano 2024,2024,"Caetano, Isabella Toledo; Fermino, Rogerio Cesar; Falcao, Renato de Oliveira; Amorim, Paulo Roberto dos Santos",Built environment and physical activity in adolescents: Use of the kernel density estimation and the walkability index,PLOS ONE,3/19/24,,Novel indicator,,MVPA,accelerometer,,,,14-16,292,Brazil,Highest quartile of walkability was associated with higher odds of sufficient PA,,-,Positive,Positive,No,Association test is not interpretable,
G4WZNBQQ,Macdonald 2019,2019,"Macdonald, Laura; McCrorie, Paul; Nicholls, Natalie; Olsen, Jonathan R.","Active commute to school: does distance from school or walkability of the home neighbourhood matter? A national cross-sectional study of children aged 10-11 years, Scotland, UK",BMJ open,12/23/19,SPACES,Novel Indicator,self report,,,,,ATS (self report),11-Oct,713,UK,Odds of active transport were less likely for those in the least walkable areas only. ,,Positive,-,Positive,No,ATS only,
XNC7D4N5,Cain 2017,2017,"Cain, Kelli L.; Gavand, Kavita A.; Conway, Terry L.; Geremia, Carrie M.; Millstein, Rachel A.; Frank, Lawrence D.; Saelens, Brian E.; Adams, Marc A.; Glanz, Karen; King, Abby C.; Sallis, James F.",Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),JOURNAL OF TRANSPORT & HEALTH,2017-06,Neighborhood impact on kids; teen environment and neighborhood,MAPS-Abbreviated,No,location-based PA; MVPA,accelerometer,Leisure PA in neighborhood (self report); leisure PA in neighborhood (parent report),Walk for transport (parent reported); Walk for transport (self reported),,9.1 (1.6); 14.1 (1.4),"758 children, 897 adolescents",USA,"Many different findings. Interesting to me is the cul-de-sacs were significantly related to PA in neighborhood for children, but not with objective MVPA",,-,?,Mixed,yes,,
6MCYVW4F,Cain 2014,2014,"Cain, Kelli L.; Millstein, Rachel A.; Sallis, James F.; Conway, Terry L.; Gavand, Kavita A.; Frank, Lawrence D.; Saelens, Brian E.; Geremia, Carrie M.; Chapman, James; Adams, Marc A.; Glanz, Karen; King, Abby C.",Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),SOCIAL SCIENCE & MEDICINE,2014-09,Neighborhood impact on kids; teen environment and neighborhood,MAPS,self report; parent report,location-based PA; MVPA,accelerometer,Leisure and neighborhood PA (self report or parent report),self report; parent report,,9.1 (1.6); 14.1 (1.4),"758 children, 897 adolescents",USA,MAPS scores were related to MVPA for children and older adults. Active transport related to MAPS scores across the board. ,,Positive,Positive,Positive,yes,,
DDTV2E6Z,Tewahade 2019,2019,"Tewahade, Selam; Li, Kaigang; Goldstein, Risë B.; Haynie, Denise; Iannotti, Ronald J.; Simons-Morton, Bruce",Association between the Built Environment and Active Transportation among U.S. Adolescents,Journal of Transport & Health,2019-12,NEXT Generation Health Study,Frank including retail,self report,,,,,ATS (self report),10th grade,2780,USA,Walkability associated with active travel,,Positive,-,Positive,No,Active travel only,
T57H54QZ,Campbell 2023,2023,"Campbell, JE.; Janssen, I.",The neighborhood physical environment and the 24-hour movement behavior composition among children,International journal of environmental health research,2023,Active Play Study,Walk Score; other indicators,,LPA; MVPA,accelerometer,LPA accelerometer,,,13-Oct,458,Canada,No significant relationship between walkability and movement behaviors,,Neutral,,,yes,, 
RN3GTTMC,Lee 2020,2020,"Lee, Sungmin; Lee, Chanam; Nam, Ji Won; Abbey-Lambertz, Mark; Mendoza, Jason",School Walkability Index: Application of Environmental Audit Tool and GIS,Journal of Transport & Health,2020-09,Walking School Bus RCT,audit-based school WI; GIS-based school WI,self report,,,Before-school MVPA (accelerometer),,"ATS (self report); MVPA (accelerometer, before-school)",11-Aug,315,USA,"Audit-based WI was associated with ATS and before-school MVPA for children living within 1.5 km of school. GIS-based WI associated with before-school MVPA, not ATS","Before-school MVPA was used to estimate MVPA obtained on the journey to school. This is dependent on children living close to school, which children are less likely to live close to school when the area is less walkable",Positive,?,Positive,No,ATS only,
ANRAHA2L,Carlson 2015,2015,"Carlson, Jordan A.; Saelens, Brian E.; Kerr, Jacqueline; Schipperijn, Jasper; Conway, Terry L.; Frank, Lawrence D.; Chapman, Jim E.; Glanz, Karen; Cain, Kelli L.; Sallis, James F.","Association between neighborhood walkability and GPS-measured walking, bicycling and vehicle time in adolescents",Health & Place,2015-03,TEAN,Frank including retail,No,MVPA,,Total PA (accelerometer),Active travel (GPS),Active travel (GPS); Total PA (accelerometer),16-Dec,690,USA,Participants in highly walkable neighborhoods engaged in more walking and bicycling,,-,?,Positive,No,No association between walkability and PA,
BRH3UW4K,Deforche 2010,2010,"Deforche, B.; Van Dyck, D.; Verloigne, M.; De Bourdeaudhuij, I.",Perceived social and physical environmental correlates of physical activity in older adolescents and the moderating effect of self-efficacy,Preventive Medicine,2010-01,,NEWS,No,,,Leisure-time sports (self report),,Active transport (self report); leisure-time sports (self-report),17.4 +/- 0.6,1445,Belgium,"Land-use mix, street connectivity, and aesthetics positively related to active transport. Access to recreational facilities negatively related to active transport and leisure-time sports. Perceived safety from traffic positively related to leisure time sports. ",,-,Positive,Positive,No,Only PA outcome is leisure-time sports,
RXWELY4X,Chalikavada 2021,2021,"Chalikavada, Radhika; Broder, Jonathan C.; O’Hara, Rebecca L.; Xue, Wenyue; Gasevic, Danijela",The association between neighbourhood walkability and after-school physical activity in Australian schoolchildren,Health Promotion Journal of Australia,2021,,Walk Score,No,after-school PA,,After school PA (self report),,After school PA (self reported),14-Aug,16372,Australia,Living in a walker's paradise was associated with more afterschool PA.,,-,Positive,Positive,yes,Does not include MVPA or total PA,
5WF9CNFB,Cheah 2012,2012,"Cheah, WL.; Chang, CT.; Saimon, R.","Environment factors associated with adolescents' body mass index, physical activity and physical fitness in Kuching South City, Sarawak: a cross-sectional study",International journal of adolescent medicine and health,2012,,NEWS-Y (self),,,,PA before school (self report); PA during school (self report); PA after school (self report); Total PA (self report),,,14-16,316,Malaysia,No significant relationship between walkability and PA,,-,Neutral,Neutral,yes,Does not include MVPA,
A,Colley 2019,2019,"Colley, Rachel C; Christidis, Tanya; Mechaud, Isabelle; Tjepkema, Michael; Ross, Nancy A.",The association between walkable neighbourhoods and physical activity across the lifespan,Health Reports,2019,Canadian Health Measures Survey and Canadian Community Health Survey,Frank excluding retail (ALE index),,LPA; MVPA; organized PA; other PA,accelerometer,LPA (accelerometer); Total PA (self report); Total PA (parent report),Step count (accelerometer),,17-Mar,4030 for 3-11. Sample size for 12-17 not reported.,Canada,"Walkability was only significantly associated with accelerometer-based MVPA and accelerometer-based LPA for the 12-17 age range, not for 3-11. Walkability was not significantly associated with step counts. Walkability was significantly associated with self-reported transportation PA for 12-17 (not measured for <12). Only adults had a linear trend upward in MVPA with increasing walkability class. There was a downward trend for parent-reported PA for ages 5-11 with increasing walkability class.",Can-ALE is explicitly described as a walkability index,-,Mixed,Mixed,yes,,
SVP2MLWF,Carlson 2014,2014,"Carlson, Jordan A.; Sallis, James F.; Kerr, Jacqueline; Conway, Terry L.; Cain, Kelli; Frank, Lawrence D.; Saelens, Brian E.",Built environment characteristics and parent active transportation are associated with active travel to school in youth age 12-15,British Journal of Sports Medicine,2014-12,TEAN,NEWS-Y; Frank including retail,self report,,,,,ATS (self report),15-Dec,294,USA,"Perceived street connectivity, perceived pedestrian safety, objective residential density all psoitively associated with ATS",Excludes children who live more than 2 miles from their school,Positive,-,Positive,No,ATS only,
LGG37I5J,D'Haese 2015,2015,"D'Haese, Sara; Van Dyck, Delfien; De Bourdeaudhuij, Ilse; Deforche, Benedicte; Cardon, Greet",The association between the parental perception of the physical neighborhood environment and children's location-specific physical activity,BMC public health,6/19/15,BEPAS-child,NEWS (parent report),No,location-based PA; MVPA,accelerometer,PA in locations (parent report),,MVPA (accelerometer); PA in locations (parent reported),12-Sep,606,Belgium,"Children more likely to be active in nearby streets and on sidewalks if their parents pareceived lower street connectivity, higher land use mix, and more crime safety. No relationship with MVPA",,-,Mixed,Mixed,yes,,
XF72D9W4,D’Haese 2014,2014,"D’Haese, Sara; Van Dyck, Delfien; De Bourdeaudhuij, Ilse; Deforche, Benedicte; Cardon, Greet","The association between objective walkability, neighborhood socio-economic status, and physical activity in Belgian children",International Journal of Behavioral Nutrition and Physical Activity,8/23/14,BEPAS-child,Frank excluding retail,parent report,MVPA; organized PA,accelerometer,,,,12-Sep,606,Belgium,"In low SES neighborhoods, walkability was positively related to walking for transportation during leisure time and was negatively related to sports during leisure time. In high SES neighborhoods, walkability was unrelated to children's PA. No relationship between walkability and ATS or MVPA were found.",,Neutral,Neutral,Mixed,yes,,
HL8UIINH,Datar 2015,2015,"Datar, Ashlesha; Nicosia, Nancy; Wong, Elizabeth; Shier, Victoria",Neighborhood environment and children's physical activity and body mass index: Evidence from military personnel installation assignments,CHILDHOOD OBESITY,4/1/15,"Military Teenagers Environments, Exercise, and Nutrition Study",NEWS-Y,,MPA; VPA,,self report VPA; self report MPA,,,13-Dec,903,USA,Street connectivity had negative association with VPA. Crime safety was associated with more MPA,,-,Mixed,Mixed,yes,,
KD3EUXQW,Giles-Corti 2011,2011,"Giles-Corti, Billie; Wood, Gina; Pikora, Terri; Learnihan, Vincent; Bulsara, Max; Van Niel, Kimberly; Timperio, Anna; McCormack, Gavin; Villanueva, Karen",School site and the potential to walk to school: the impact of street connectivity and traffic exposure in school neighborhoods,Health & Place,2011-03,TREK,Novel indicator,parent report,,,,,ATS (parent report),Year 5-7,1480,Australia,"Children in schools with high connectivity and high traffic exposure were less likely to walk, while high connectivity and low traffic exposure more likely to walk. ",,Mixed,-,Mixed,No,ATS only,
NDABH4WD,De Meester 2014,2014,"De Meester, Femke; Van Dyck, Delfien; De Bourdeaudhuij, Ilse; Cardon, Greet",Parental perceived neighborhood attributes: associations with active transport and physical activity among 10-12 year old children and the mediating role of independent mobility,BMC PUBLIC HEALTH,6/20/14,,NEWS-Y (parent report),No,other PA,,Total PA (parent report),step count (pedometer and self report); step count (accelerometer),Total PA (parent report); step count (pedometer and self report); step count (accelerometer),12-Oct,736,Belgium,Many of the subscales in the NEWS-Y were positively associated with total PA and step counts,This is a type of total PA that is just the sum of other categories of PA,-,Positive,Positive,yes,Does not include MVPA,
EPKL93NP,Lavergne 2023,2023,"Lavergne, Valerie; Butler, Gregory; Prince, Stephanie A.; Contreras, Gisele",Associations between school-level environment and individual-level factors of walking and cycling to school in Canadian youth,PREVENTIVE MEDICINE REPORTS,2023-12,Health Behaviour in School-aged Children,Can-ALE,self report,,,,,ATS (self report),15-Nov,15460,Canada,"Walkability positively associated with walking to school, not associated with biking to school. ",,Positive,-,Positive,No,ATS only,
CI9KVCNK,De Meester 2013,2013,"De Meester, Femke; Van Dyck, Delfien; De Bourdeaudhuij, Ilse; Deforche, Benedicte; Cardon, Greet",Do psychosocial factors moderate the association between neighborhood walkability and adolescents' physical activity?,SOCIAL SCIENCE & MEDICINE,2013-03,BEPAS-Youth,Frank excluding retail,,MVPA; Total PA,accelerometer,LPA (accelerometer),,,13-15,637,Belgium,"Walkability was positively associated with PA  for adolescents in low-income neighborhoods who perceived many barriers and few benefits, while for adolescents who perceved few barriers and many benefits, the PA level was high, irrespective of neighborhood walkability. For adolescents in high income neighborhoos, no psychosocial attributes moderated the association between neighbrohood walkability and PA",,-,Positive,Mixed,yes,,
JZZC78DL,Nelson 2010,2010,"Nelson, Norah M.; Woods, Catherine B.",Neighborhood perceptions and active commuting to school among adolescent boys and girls,JOURNAL OF PHYSICAL ACTIVITY & HEALTH,2010-03,Physical Activity Research for Teenagers,NEWS,self report,,,,,,15-17,2159,Ireland,"Gendered differences in perception of built environment. Gendered differences in effect. Some subscales supported ATS, some prohibited",,Mixed,-,Mixed,No,ATS only,
3945FCNV,De Meester 2012,2012,"De Meester, Femke; Van Dyck, Delfien; De Bourdeaudhuij, Ilse; Deforche, Benedicte; Sallis, James F.; Cardon, Greet",Active living neighborhoods: is neighborhood walkability a key element for Belgian adolescents?,BMC PUBLIC HEALTH,1/4/12,BEPAS-Youth,Frank excluding retail,self report,MVPA; organized PA,accelerometer,,,,13-15,637,Belgium,Only in low-SES neighborhoods was walkability associated with MVPA. ATS had no association with walkability,,Neutral,Mixed,Mixed,yes,,
UR8HNX5W,Dias 2020,2020,"Dias, Arieli Fernandes; Gaya, Anelise Reis; Santos, Maria Paula; Brand, Caroline; Pizarro, Andreia Nogueira; Fochesatto, Camila Felin; Mendes, Thiago Monteiro; Mota, Jorge; Araujo Gaya, Adroaldo Cezar",Neighborhood environmental factors associated leisure walking in adolescents,REVISTA DE SAUDE PUBLICA,2020,,NEWS-Y; novel indicator,No,,,Leisure walking,Leisure walking (self report),,14-20,1113,Brazil,"Walkability associated with leisure walking only in middle SES girls, not associated in boys",,-,-,Mixed,yes,Does not include MVPA,
XKCKJIBG,Doan 2025,2025,"Doan, N.; Srugo, SA.; Prince, SA.; Colley, RC.; Rainham, DG.; Manyanga, T.; Butler, GP.; Larouche, R.; Turner, SE.; Lang, JJ.",Independent and joint associations of neighbourhood greenness and walkability with transportational and recreational physical activity among youth and adults in Canada,Preventive medicine reports,2025,Canadian Community Health Survey,Can-ALE,,other PA,,Recreational PA (self report),Active transport (self report),,17-Dec,132927 including adults,Canada,Walkability x vegetation was significantly positively related to active transport in youth. Walkability had no other significant associations for youth.,,,Mixed,,yes,Does not include MVPA or total PA,
JI9UCXZN,Duncan 2016,2016,"Duncan, Susan C.; Strycker, Lisa A.; Chaumeton, Nigel R.; Cromley, Ellen K.","Relations of neighborhood environment influences, physical activity, and active transportation to/from school across african american, latino american, and white girls in the united states",INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,2016-04,,Novel indicator,self report,MVPA,accelerometer,,,,12.06 (1.69),372,USA,"Active transport was significantly related to walkability, not MVPA",,Positive,Neutral,Mixed,yes,,
